Week,Model 1,Model 2
Week 0,0,0
Week 1,0,0
Week 2,0,0
Week 3,10,0
Week 4,5,0
Week 5,2,0
Week 6,1,0
Week 7,1,0
Week 8,1,0
Week 9,1,0
Week 10,1,0
Week 11,<1,0
Week 12,1,0
Week 13,1,1
Week 14,<1,1
Week 15,2,<1
Week 16,2,0
Week 17,2,0
Week 18,1,0
Week 19,1,0
Week 20,1,0
Week 21,1,0
Week 22,2,32
Week 23,4,100
Week 24,2,26
Week 25,1,13
Week 26,1,12
Week 27,1,8
Week 28,<1,6
Week 29,1,6
Week 30,1,5
Week 31,<1,4
Week 32,<1,4
Week 33,<1,3
Week 34,<1,3
Week 35,<1,3
Week 36,<1,2
Week 37,0,2
Week 38,<1,2
Week 39,<1,2
Week 40,<1,4
Week 41,<1,3
Week 42,<1,3
Week 43,<1,3
Week 44,<1,3
Week 45,<1,3
Week 46,1,3
Week 47,2,4
Week 48,3,6
Week 49,3,8
Week 50,1,5
Week 51,1,3
Week 52,<1,3
Week 53,<1,2
Week 54,<1,2
Week 55,<1,1
Week 56,0,3
Week 57,<1,2
Week 58,<1,2
Week 59,<1,1
Week 60,<1,1
Week 61,<1,1
Week 62,1,2
Week 63,1,2
Week 64,<1,1
Week 65,<1,1
